iter	Passed	Remaining
0	57	57665
1	58	29021
2	58	19430
3	58	14676
4	59	11786
5	59	9889
6	60	8513
7	60	7493
8	60	6690
9	61	6042
10	61	5523
11	61	5082
12	62	4707
13	62	4392
14	62	4119
15	62	3872
16	63	3659
17	64	3515
18	64	3344
19	65	3191
20	65	3052
21	65	2928
22	66	2816
23	66	2709
24	66	2610
25	67	2518
26	67	2433
27	67	2353
28	68	2280
29	68	2211
30	68	2147
31	68	2085
32	69	2029
33	69	1980
34	70	1932
35	70	1886
36	70	1844
37	71	1800
38	71	1759
39	71	1721
40	71	1683
41	72	1648
42	72	1613
43	72	1582
44	73	1553
45	73	1524
46	74	1509
47	74	1481
48	74	1454
49	75	1430
50	75	1406
51	75	1383
52	76	1363
53	76	1341
54	76	1320
55	77	1299
56	77	1280
57	77	1264
58	78	1246
59	78	1230
60	78	1214
61	79	1199
62	79	1184
63	80	1170
64	80	1156
65	80	1141
66	81	1137
67	81	1123
68	82	1109
69	82	1095
70	82	1082
71	82	1069
72	83	1056
73	83	1045
74	83	1034
75	84	1023
76	84	1012
77	84	1000
78	84	989
79	85	979
80	85	969
81	85	960
82	85	949
83	86	940
84	86	930
85	86	922
86	87	913
87	87	905
88	87	896
89	87	888
90	88	881
91	88	873
92	88	866
93	89	858
94	89	851
95	89	844
96	90	838
97	90	832
98	90	825
99	90	818
100	91	813
101	91	807
102	92	801
103	92	795
104	92	789
105	92	784
106	93	778
107	93	772
108	93	766
109	94	761
110	94	757
111	94	752
112	95	747
113	95	741
114	95	737
115	96	732
116	96	726
117	96	722
118	96	717
119	97	713
120	97	709
121	97	704
122	98	699
123	98	695
124	98	691
125	99	686
126	99	682
127	99	678
128	99	674
129	100	670
130	100	666
131	100	662
132	100	658
133	101	654
134	101	650
135	101	647
136	102	643
137	102	640
138	102	637
139	103	634
140	103	630
141	103	625
142	103	622
143	104	618
144	104	615
145	104	611
146	104	607
147	105	604
148	105	601
149	105	598
150	105	595
151	106	592
152	106	590
153	106	586
154	107	584
155	107	581
156	107	578
157	107	575
158	108	572
159	108	569
160	108	565
161	108	562
162	108	559
163	109	556
164	109	554
165	109	552
166	110	549
167	110	546
168	110	543
169	110	541
170	111	539
171	111	536
172	111	534
173	112	532
174	112	530
175	112	528
176	113	526
177	113	523
178	113	521
179	114	520
180	114	517
181	114	515
182	115	513
183	115	511
184	115	509
185	116	508
186	116	506
187	116	503
188	116	501
189	117	499
190	117	497
191	117	495
192	118	494
193	118	492
194	118	489
195	118	488
196	119	486
197	119	484
198	119	482
199	120	480
200	120	479
201	120	477
202	121	475
203	121	473
204	121	471
205	121	469
206	122	467
207	122	466
208	122	464
209	122	462
210	123	461
211	123	459
212	123	457
213	124	456
214	124	454
215	124	452
216	125	451
217	125	449
218	125	447
219	125	446
220	126	444
221	126	442
222	126	441
223	126	439
224	127	438
225	127	436
226	127	435
227	128	433
228	128	432
229	128	430
230	128	428
231	129	427
232	129	426
233	129	424
234	130	423
235	130	421
236	130	420
237	130	418
238	130	417
239	131	415
240	131	414
241	131	412
242	132	411
243	132	410
244	132	409
245	133	408
246	133	406
247	133	405
248	134	404
249	134	402
250	134	401
251	134	400
252	135	398
253	135	397
254	135	396
255	136	395
256	136	394
257	136	393
258	137	392
259	137	390
260	137	389
261	137	388
262	138	387
263	138	386
264	138	385
265	139	383
266	139	382
267	139	381
268	140	380
269	140	379
270	140	378
271	140	376
272	141	375
273	141	374
274	141	373
275	141	371
276	142	370
277	142	369
278	142	368
279	142	367
280	143	366
281	143	365
282	143	364
283	144	363
284	144	362
285	144	361
286	145	360
287	145	359
288	145	358
289	145	357
290	146	356
291	146	355
292	146	354
293	147	353
294	147	352
295	147	351
296	148	350
297	148	349
298	148	348
299	148	347
300	149	346
301	149	345
302	149	344
303	150	343
304	150	342
305	150	341
306	150	340
307	151	339
308	151	338
309	151	337
310	152	337
311	152	336
312	152	335
313	153	334
314	153	333
315	153	332
316	153	331
317	154	330
318	154	329
319	154	328
320	155	327
321	155	327
322	155	326
323	155	325
324	156	324
325	156	323
326	156	323
327	157	322
328	157	321
329	158	320
330	158	320
331	158	319
332	159	318
333	159	317
334	159	317
335	159	316
336	160	315
337	160	314
338	161	313
339	161	313
340	161	312
341	161	311
342	162	310
343	162	309
344	162	308
345	162	308
346	163	307
347	163	306
348	163	305
349	164	304
350	164	303
351	164	303
352	165	302
353	165	301
354	165	300
355	165	300
356	166	299
357	166	298
358	166	297
359	167	297
360	167	296
361	167	295
362	168	295
363	168	294
364	168	293
365	169	293
366	169	292
367	169	291
368	170	290
369	170	290
370	170	289
371	170	288
372	171	287
373	171	287
374	171	286
375	172	285
376	172	284
377	172	284
378	172	283
379	173	282
380	173	281
381	173	280
382	173	280
383	174	279
384	174	278
385	174	277
386	174	277
387	175	276
388	175	275
389	175	275
390	176	274
391	176	273
392	176	272
393	177	272
394	177	271
395	177	271
396	178	270
397	178	269
398	178	269
399	179	268
400	179	267
401	179	267
402	179	266
403	180	265
404	180	264
405	180	264
406	180	263
407	181	262
408	181	262
409	181	261
410	182	260
411	182	260
412	182	259
413	183	259
414	183	258
415	183	258
416	184	257
417	184	256
418	184	256
419	185	255
420	185	255
421	185	254
422	186	253
423	186	253
424	186	252
425	187	251
426	187	251
427	187	251
428	188	250
429	188	249
430	188	249
431	189	248
432	189	247
433	189	247
434	189	246
435	190	245
436	190	245
437	190	244
438	190	244
439	191	243
440	191	242
441	191	242
442	192	241
443	192	240
444	192	240
445	193	239
446	193	239
447	193	238
448	194	238
449	194	237
450	194	236
451	194	236
452	195	235
453	195	235
454	195	234
455	196	233
456	196	233
457	196	232
458	196	232
459	197	231
460	197	230
461	197	230
462	198	229
463	198	229
464	199	229
465	199	228
466	200	228
467	200	227
468	200	227
469	200	226
470	201	226
471	201	225
472	201	224
473	202	224
474	202	223
475	202	223
476	203	222
477	203	222
478	203	221
479	204	221
480	204	220
481	204	219
482	204	219
483	205	218
484	205	218
485	205	217
486	206	217
487	206	216
488	206	216
489	207	215
490	207	214
491	207	214
492	207	213
493	208	213
494	208	212
495	208	212
496	209	211
497	209	210
498	209	210
499	209	209
500	210	209
501	210	208
502	210	208
503	211	207
504	211	207
505	211	206
506	212	206
507	212	205
508	212	205
509	212	204
510	213	203
511	213	203
512	213	202
513	213	202
514	214	201
515	214	201
516	214	200
